Lot Area,Overall Qual,Overall Cond,Gr Liv Area,TotRms AbvGrd,Yr Sold,SalePrice
7740,4,7,1363,6,2010,125500
11340,4,6,2290,11,2010,122500
10560,6,7,1470,6,2010,140750
5830,5,6,1612,7,2010,128500
7793,7,7,2068,8,2010,209500
5000,4,7,765,4,2010,87000
6000,6,7,1132,5,2010,134000
6000,6,6,1196,6,2010,128000
6360,5,6,1453,7,2010,132000
6000,6,7,1416,6,2010,139900
6240,5,7,1040,5,2010,123900
6240,5,5,1536,7,2010,138400
6120,6,5,1068,5,2010,109500
10300,7,6,1710,9,2010,140000
8094,4,5,1962,9,2010,149500
12900,6,8,1560,7,2010,159900
3068,6,8,1324,6,2010,122000
8472,5,5,816,5,2010,110000
5600,4,5,1092,7,2010,55000
7630,5,9,1812,8,2010,140000
24090,7,7,2403,10,2010,244400
15263,5,5,1675,8,2010,173000
10632,5,3,1224,6,2010,107500
9900,5,4,1392,6,2010,100000
6001,6,5,919,5,2010,95000
6449,4,1,1884,7,2010,93369
6048,5,7,1680,7,2010,114900
6342,5,8,1020,6,2010,94000
10773,4,3,1832,8,2010,136000
10778,4,5,1768,8,2010,136500
11625,5,4,1039,6,2010,131500
11341,5,6,1392,5,2010,121500
8521,5,5,912,5,2010,125000
8246,5,8,1060,6,2010,154000
7800,5,7,892,5,2010,137900
9364,6,7,1352,7,2010,158000
7832,5,5,864,4,2010,137250
7424,5,5,1373,5,2010,160250
11227,5,5,1440,7,2010,163000
11616,6,5,1386,6,2010,158900
14000,7,5,2260,7,2010,328000
20062,7,7,1483,4,2010,270000
9259,4,4,756,4,2010,85000
9600,4,7,1067,4,2010,128000
23595,7,6,1524,4,2010,260000
17082,6,5,1981,8,2010,230000
18600,3,4,1610,8,2010,124000
10625,5,5,835,5,2010,83000
11479,6,7,1074,6,2010,144500
9571,5,6,1144,6,2010,129000
9350,4,6,1531,8,2010,127000
9525,5,7,1172,5,2010,128000
10420,6,5,1212,6,2010,186000
17485,7,5,1508,5,2010,308030
11200,5,3,1298,5,2010,114000
11100,4,7,930,6,2010,84900
9206,6,5,1732,7,2010,178000
11980,7,5,1433,4,2010,270000
12361,6,7,1802,8,2010,218000
9938,7,5,1949,8,2010,236000
9069,6,6,996,5,2010,147000
10475,8,5,1694,7,2010,245350
6762,7,5,1208,6,2010,206000
10402,7,5,1226,6,2010,198900
7360,7,5,1222,6,2010,187000
12376,7,5,3222,11,2010,320000
14235,6,8,1445,6,2010,138500
8816,6,7,1052,6,2010,155000
11105,5,5,965,4,2010,159000
9337,7,5,1692,8,2010,191000
8750,6,5,1682,7,2010,200500
15240,5,8,1026,5,2010,150000
10900,6,7,1392,6,2010,161750
10650,5,6,894,5,2010,128200
7480,5,6,876,5,2010,127000
10389,8,5,1978,8,2010,318000
11423,8,5,1601,6,2010,272000
9548,7,6,1829,7,2010,237000
9375,7,5,2098,9,2010,240000
12137,7,5,1661,6,2010,224900
4435,6,5,848,4,2010,143750
4426,6,5,848,3,2010,143000
10635,8,5,1668,8,2010,232000
8400,7,5,1484,7,2010,213000
8773,7,5,1414,6,2010,185500
8777,3,6,640,5,2010,84900
8842,5,6,992,6,2010,155891
9825,5,5,1664,8,2010,100000
10044,5,6,1196,6,2010,144000
11792,4,5,1120,5,2010,64000
6305,6,6,1096,5,2010,125200
7819,6,5,1117,6,2010,107000
6410,4,5,960,5,2010,90000
8546,4,5,1121,5,2010,140000
8741,6,4,1487,7,2010,113000
12180,4,4,924,5,2010,80000
8562,5,6,1526,7,2010,144500
4853,5,6,1296,5,2010,104000
6858,6,4,1647,6,2010,128000
8212,3,3,864,5,2010,58500
5000,5,6,1691,6,2010,127000
7890,6,6,856,4,2010,126000
7200,4,6,2650,10,2010,160000
9839,5,2,1666,7,2010,100000
9638,6,7,2447,10,2010,169000
10452,7,6,2133,8,2010,257500
15600,5,6,2177,11,2010,215000
9042,7,9,2340,9,2010,266500
17500,7,8,1902,7,2010,335000
19645,7,6,1652,6,2010,203135
3907,8,6,1034,4,2010,185000
3907,8,5,1191,5,2010,162500
15602,7,8,1801,6,2010,289000
5436,4,8,1154,7,2010,125500
8154,2,5,540,4,2010,82000
9140,6,5,1107,5,2010,110000
7500,4,4,1128,6,2010,68400
8712,4,7,1178,7,2010,102776
8712,5,5,1044,4,2010,55993
8712,4,7,952,5,2010,50138
3811,8,5,1646,5,2010,246000
11050,8,5,1916,8,2010,254900
9620,6,7,1285,6,2010,190000
9196,7,5,1560,7,2010,201000
12328,6,5,1034,6,2010,169900
12760,6,5,2048,9,2010,170000
57200,5,5,1687,7,2010,160000
11896,7,5,1346,6,2010,220000
9803,7,5,1214,6,2010,179781
9802,5,5,1444,7,2010,174000
12003,8,5,1968,8,2010,269500
11316,7,5,1894,8,2010,214900
14191,8,5,1908,9,2010,202900
13214,9,5,2018,10,2010,378500
15300,5,5,1264,7,2010,169000
10114,5,5,1430,7,2010,173500
9400,6,5,1824,8,2010,139000
11875,5,5,1344,7,2010,166500
1974,4,5,1092,6,2010,83500
2394,5,6,945,5,2010,119500
2592,5,3,1112,4,2010,85000
1476,4,7,1092,5,2010,76000
1491,4,6,630,3,2010,75500
1900,4,4,1092,5,2010,88250
1890,4,6,1092,5,2010,85500
6953,5,7,874,5,2010,130000
26142,5,7,1188,6,2010,157900
12887,5,7,833,5,2010,149900
7700,5,2,2432,10,2010,159000
10475,5,5,1274,6,2010,136000
10544,5,5,1479,8,2010,161000
9892,8,5,1803,6,2010,285000
12961,6,5,1797,7,2010,231000
13008,6,5,882,5,2009,124500
10200,6,5,1434,7,2009,157000
13860,8,7,2704,9,2009,345000
10179,6,5,1608,7,2009,189500
11792,8,5,2283,9,2009,270000
8400,7,5,1628,7,2009,189000
14892,9,5,1746,7,2009,377500
8530,7,5,1474,7,2009,168500
7296,8,5,2522,8,2009,375000
5664,8,5,1659,5,2009,278000
7380,8,5,1478,5,2009,240000
8013,8,5,1734,6,2009,239500
8923,7,5,1382,7,2009,177500
10141,7,5,1718,7,2009,185000
7500,6,5,1636,7,2009,191000
7837,6,7,1571,7,2009,178000
9765,6,8,1470,6,2009,185000
8803,6,5,1516,7,2009,181316
7250,6,5,1190,6,2009,166000
9636,6,5,1593,7,2009,178000
8125,6,5,1481,6,2009,174000
9248,6,6,1167,6,2009,173000
10762,7,5,1983,9,2009,225000
11851,7,5,1442,5,2009,180500
5814,8,5,1360,4,2009,187500
17423,9,5,2234,9,2009,501837
11844,8,5,2046,7,2009,372500
16158,7,5,1530,7,2009,260000
11900,5,6,1934,6,2009,185000
13005,7,7,2353,10,2009,260000
17043,6,5,1586,7,2009,181000
11900,7,5,1411,6,2009,82500
16635,6,7,1602,8,2009,215000
13250,7,6,2050,8,2009,154000
10928,6,6,1671,7,2009,200000
12388,7,7,2673,9,2009,249000
14115,7,5,1472,6,2009,187500
11088,6,5,1707,7,2009,184000
9600,8,5,2524,9,2009,278000
11880,7,5,1601,7,2009,157000
10400,7,5,1370,6,2009,152000
10304,5,7,1868,9,2009,197500
7000,7,5,1884,7,2009,240900
8004,8,5,1935,8,2009,263435
7500,8,5,1874,7,2009,220000
8470,8,5,1811,7,2009,235000
9373,5,7,1621,7,2009,213000
10140,6,6,1116,6,2009,167900
11050,7,5,1193,5,2009,158000
10140,6,5,1350,7,2009,165000
10448,6,6,2119,7,2009,158000
9000,5,5,1792,8,2009,136000
8750,5,6,1002,5,2009,148500
7930,6,8,1026,5,2009,156000
7830,5,5,1180,6,2009,128000
8510,5,7,1050,6,2009,143000
7038,4,6,864,5,2009,76500
6960,4,6,864,5,2009,120500
8120,4,7,864,5,2009,124500
10500,4,6,864,4,2009,97000
9000,4,7,864,5,2009,130000
1680,6,5,987,5,2009,111000
2368,5,6,1365,7,2009,125000
1680,5,5,1302,6,2009,112000
1680,6,6,987,5,2009,97000
1680,6,8,987,5,2009,118000
1680,5,7,1302,6,2009,119500
4928,6,6,958,5,2009,143750
2308,6,5,1548,7,2009,146000
2280,6,6,1456,7,2009,148500
2280,7,5,1055,4,2009,123000
2308,6,5,1322,6,2009,147000
2349,6,5,1456,6,2009,137900
2364,6,5,1548,7,2009,147000
2289,6,6,1441,7,2009,148500
2364,6,5,1456,6,2009,138000
2104,7,6,836,5,2009,128500
7150,5,5,892,5,2009,100000
10710,5,7,1120,5,2009,148800
12456,10,5,1718,7,2009,337500
14257,9,5,2772,10,2009,462000
13518,9,5,3140,11,2009,485000
15431,10,5,2402,10,2009,555000
13173,9,5,1652,6,2009,325000
14230,8,5,1600,7,2009,256300
12704,8,5,2042,8,2009,253293
12350,9,5,2690,8,2009,398800
11308,9,5,2184,10,2009,335000
12350,9,5,2020,7,2009,404000
12220,10,5,2020,9,2009,402861
13478,10,5,2296,10,2009,451950
13693,10,5,2674,8,2009,610000
13891,9,5,2822,12,2009,582933
11578,9,5,1736,7,2009,360000
16870,8,5,1782,7,2009,296000
23303,8,5,2520,10,2009,409900
11146,8,5,1717,7,2009,255500
10367,9,5,1743,8,2009,335000
9591,8,5,1713,7,2009,274900
10872,9,5,1531,6,2009,300000
13514,9,5,1808,7,2009,324000
8834,9,5,2224,10,2009,350000
11362,8,5,1836,7,2009,280000
10655,8,5,1629,7,2009,284000
12878,7,5,1760,8,2009,269500
9541,7,5,1502,7,2009,233170
13472,10,5,2392,8,2009,386250
15274,9,5,2452,10,2009,445000
13262,8,5,2400,10,2009,290000
9658,8,5,1606,6,2009,255900
6904,6,5,1358,6,2009,213000
5381,6,5,1306,5,2009,196000
5122,6,5,1306,5,2009,184500
10307,7,5,1358,6,2009,212500
5001,7,5,1314,6,2009,230000
14836,10,5,2492,8,2009,552000
15262,8,5,2200,8,2009,382500
7390,9,5,1884,6,2009,320000
6472,9,5,1456,6,2009,248500
16770,8,5,1712,8,2009,286500
6240,8,5,1324,6,2009,254000
3480,7,5,1405,6,2009,173000
2268,7,5,1626,6,2009,173000
10928,7,5,1456,8,2009,184000
8918,6,5,1490,7,2009,167800
12589,6,5,1484,8,2009,174000
11911,6,5,1560,6,2009,174000
3684,7,5,1555,7,2009,174000
3635,7,5,1569,7,2009,175900
3182,7,5,1555,7,2009,192500
3182,7,5,1504,7,2009,181000
3182,7,5,1220,5,2009,180000
3182,7,5,1145,5,2009,160200
7795,7,5,1432,6,2009,188500
8068,6,5,2267,8,2009,200000
9434,7,5,1374,6,2009,170000
7984,7,5,1630,7,2009,189500
7750,8,5,1419,7,2009,184100
10125,7,5,1594,7,2009,195500
8965,7,5,1489,8,2009,192000
8174,7,5,1342,7,2009,178000
5063,7,5,1314,6,2009,207500
8795,7,5,2256,8,2009,236000
12891,8,5,2004,8,2009,257500
12224,6,5,2054,7,2009,244000
9734,7,5,1374,7,2009,167000
8123,6,5,1800,7,2009,179000
8433,6,5,1514,7,2009,190000
7750,7,5,1430,7,2009,156000
15896,7,5,2312,8,2009,245000
24682,6,5,1675,7,2009,181000
8755,7,5,2060,8,2009,214000
7848,7,6,1430,7,2009,168000
9430,8,5,2365,8,2009,337000
15138,8,5,2794,9,2009,403000
12720,8,5,2687,10,2009,327000
16545,8,5,2450,7,2009,340000
12203,8,5,2612,8,2009,336000
10208,7,5,2344,7,2009,265000
10750,8,5,2063,7,2009,315000
9900,7,5,2646,9,2009,260000
9085,7,5,2061,7,2009,260000
11692,8,5,2232,8,2009,263550
46589,8,7,2448,8,2009,402000
29959,7,6,1850,7,2009,248000
9612,8,5,1468,6,2009,244600
11194,8,5,1696,7,2009,275000
10206,8,5,1658,7,2009,257500
9262,8,5,1578,7,2009,287090
10130,8,5,1702,7,2009,275500
9139,8,5,1432,7,2009,245000
9675,7,5,1971,8,2009,253000
11128,9,5,2490,9,2009,468000
8640,7,5,1852,7,2009,252678
9000,8,5,1590,6,2009,210000
7862,6,5,1218,4,2009,208300
7993,7,5,1436,6,2009,225000
8640,8,5,1314,6,2009,229456
8640,7,5,1402,7,2009,229800
12606,9,5,1530,7,2009,250000
9187,9,5,1766,7,2009,370878
7500,8,5,1448,6,2009,238500
11003,10,5,2007,10,2009,310000
10603,8,5,1795,8,2009,270000
10574,8,5,1953,9,2009,252000
8125,7,5,1550,7,2009,241000
8125,8,5,1836,8,2009,264500
10625,7,5,1662,8,2009,291000
9375,7,5,2094,8,2009,263000
7500,7,5,1221,6,2009,185000
8736,7,5,1553,6,2009,234500
8127,7,5,1653,6,2009,209000
9605,7,6,1218,6,2009,159000
7500,7,5,1141,6,2009,152000
7500,6,5,1158,5,2009,143500
10628,7,5,1812,8,2009,193000
10141,8,5,1512,6,2009,203000
10083,7,5,1200,5,2009,184900
13072,7,5,1114,6,2009,159000
13072,5,5,1114,6,2009,142000
12450,5,5,1114,6,2009,153000
7328,7,5,1450,6,2009,224243
11492,7,5,2122,8,2009,220000
10994,8,5,1844,7,2009,257000
8529,7,5,1434,6,2009,189000
7703,6,6,1730,6,2009,171500
10762,6,6,1217,6,2009,120000
7175,6,5,1332,5,2009,145000
9109,7,5,1540,6,2009,184000
10274,6,7,1400,6,2009,162000
8250,6,7,1882,8,2009,160000
8400,4,4,841,4,2009,82000
9000,6,3,784,5,2009,76000
9750,5,5,980,5,2009,110000
7064,5,6,980,6,2009,135000
8499,5,6,864,5,2009,141000
9079,5,5,864,5,2009,122000
9316,5,5,1020,5,2009,124100
7791,5,8,912,6,2009,129000
10000,5,6,1144,6,2009,131400
8281,5,5,864,5,2009,62383
7150,5,6,912,6,2009,123000
15676,8,8,2014,6,2009,275000
11949,7,8,1755,7,2009,235000
2880,7,5,3005,9,2009,280750
3951,6,5,1224,4,2009,164500
3000,6,5,1224,4,2009,173733
3830,6,5,1726,6,2009,222000
4217,6,5,1256,5,2009,195000
3230,6,5,1471,6,2009,172500
2998,6,5,1512,4,2009,180000
3768,7,5,1452,6,2009,156000
2645,8,5,1739,7,2009,172500
14694,8,9,1694,5,2009,318750
3782,8,5,1226,4,2009,211500
15417,7,5,1740,7,2009,241600
9600,8,5,2499,5,2009,180500
9991,4,4,1620,8,2009,150000
11700,6,6,1556,8,2009,154000
11717,6,6,1442,6,2009,185000
9156,6,7,1489,7,2009,185750
10382,7,6,2090,7,2009,200000
12732,7,6,2067,7,2009,206000
12936,6,6,1395,6,2009,162000
10400,6,7,2640,8,2009,256900
17871,6,5,1724,7,2009,197900
9600,5,5,1336,6,2009,163000
9000,6,5,1216,5,2009,113000
13774,7,7,2288,8,2009,230000
9650,6,5,1334,6,2009,167900
10140,7,5,1680,7,2009,213250
8400,8,6,1665,6,2009,227000
7130,5,6,864,5,2009,130000
9600,5,5,1568,7,2009,143000
9100,5,6,925,5,2009,117500
9600,7,5,2061,8,2009,168500
16500,6,5,1320,5,2009,172500
9790,6,5,1342,7,2009,161500
7436,4,7,894,5,2009,141500
8125,5,7,864,5,2009,118000
9100,6,6,864,5,2009,127500
9450,4,5,1362,6,2009,140000
13495,5,6,1728,7,2009,177625
11475,5,5,1776,9,2009,110000
10004,6,6,1516,6,2009,167000
9350,5,6,1313,6,2009,153000
10500,5,5,1292,6,2009,145100
11000,5,6,1154,6,2009,154000
8970,5,6,2140,7,2009,177500
12095,6,6,1445,7,2009,158000
9600,5,6,1041,6,2009,124500
11475,6,6,1576,7,2009,174500
9768,5,5,960,5,2009,122000
5330,4,7,708,5,2009,82500
7015,5,4,1203,5,2009,110000
12160,6,4,1505,6,2009,149500
9900,6,5,1691,5,2009,175000
9600,6,5,1644,7,2009,167000
9600,5,6,1050,5,2009,128900
9600,6,8,1668,6,2009,140000
9600,5,7,1113,5,2009,147000
8944,5,5,1584,8,2009,124000
10573,6,6,1453,6,2009,187500
9500,6,5,1394,6,2009,159000
14695,6,8,1567,5,2009,256000
13600,7,6,1986,7,2009,205000
13000,6,6,2142,8,2009,193500
13560,6,3,1392,5,2009,110000
12513,4,4,1738,7,2009,104900
8760,5,7,1144,6,2009,150000
8400,6,3,1478,6,2009,156500
12285,7,6,1329,5,2009,176000
9240,6,8,988,6,2009,149500
9600,6,6,1632,6,2009,139000
12400,6,7,1215,6,2009,155000
8750,5,5,1202,6,2009,120000
8750,5,5,1382,6,2009,153000
10400,4,5,1200,6,2009,144000
19296,6,5,1382,6,2009,176000
8532,5,6,1297,5,2009,153000
9482,5,4,1866,8,2009,135000
8128,6,7,1062,6,2009,131000
10634,5,6,1319,5,2009,123000
13070,5,5,1112,5,2009,126000
10434,4,5,1005,5,2009,115000
14559,5,7,1363,6,2009,164900
8480,5,6,793,4,2009,113000
7626,5,8,1031,5,2009,145500
9533,5,5,1210,7,2009,102900
10615,3,5,1699,7,2009,95000
11419,7,7,1527,6,2009,152500
9600,5,6,1200,6,2009,129900
8000,6,6,972,5,2009,132000
5470,3,5,792,4,2009,99900
10410,5,7,1656,8,2009,135000
10800,5,7,1352,7,2009,149000
8146,4,8,1039,6,2009,114000
9022,5,8,792,5,2009,109500
10230,5,7,1078,6,2009,125000
10410,4,5,2377,8,2009,142900
7200,7,9,1690,5,2009,156500
5400,2,5,599,4,2009,59000
5400,4,6,1374,6,2009,105000
10800,5,7,846,4,2009,106000
10800,3,5,725,4,2009,78500
9671,6,5,2544,12,2009,190000
10143,6,7,1380,6,2009,154000
11500,6,4,1040,6,2009,163000
11643,5,5,2634,12,2009,200000
8010,6,9,951,6,2009,143500
10454,6,6,1105,5,2009,135000
8712,5,7,1306,5,2009,153000
17600,6,5,1478,6,2009,157500
9000,6,6,1142,5,2009,113500
12144,5,7,1268,6,2009,133000
8544,3,4,1040,6,2009,92900
8064,6,5,1133,5,2009,128500
7200,4,5,1040,6,2009,90000
7200,5,4,1904,7,2009,138000
7350,5,6,1041,6,2009,128000
7560,5,6,1339,6,2009,139000
7200,5,7,732,4,2009,118900
8000,5,5,1183,6,2009,138000
7931,5,5,1148,6,2009,132500
10800,4,7,1461,6,2009,133500
8064,6,7,1495,6,2009,135000
7570,6,5,1806,8,2009,144750
8604,5,7,941,4,2009,145000
7936,6,6,1045,6,2009,127000
6600,5,5,894,5,2009,109500
3950,6,8,1224,5,2009,115000
10440,5,6,1230,5,2009,110000
4080,6,8,1378,6,2009,128900
10307,6,5,1944,12,2009,103500
5720,5,6,1131,5,2009,66500
15660,5,8,1306,6,2009,130000
9900,5,8,1464,7,2009,129000
6406,5,6,1558,7,2009,150000
6600,5,4,2372,11,2009,107500
7627,4,6,1701,8,2009,94550
7596,5,5,1960,10,2009,124500
3378,7,8,1389,6,2009,135000
10134,5,5,1447,6,2009,103000
6000,4,4,936,4,2009,93000
6000,5,7,1328,6,2009,129500
6000,5,4,1387,7,2009,93000
7404,4,6,861,5,2009,80000
5925,2,4,612,4,2009,45000
5925,3,6,968,6,2009,37900
5784,5,8,886,4,2009,91300
8520,5,8,792,5,2009,99500
4456,4,5,1452,8,2009,113000
9600,4,4,1510,7,2009,87500
3500,5,7,1284,5,2009,110000
8100,5,5,2138,11,2009,106000
11700,7,7,2640,8,2009,265979
8400,6,7,2007,8,2009,160000
3600,6,7,1288,5,2009,119000
17671,8,9,1742,8,2009,168000
3300,4,3,816,5,2009,58500
9000,7,9,1482,7,2009,143000
7200,5,4,1022,4,2009,85000
8820,5,6,1869,7,2009,124900
5400,6,6,1480,6,2009,119000
9720,6,7,1521,8,2009,146500
7879,4,5,720,4,2009,34900
9392,3,3,797,5,2009,44000
21384,5,6,1576,6,2009,223500
6615,6,6,1432,6,2009,149000
7264,7,7,1548,5,2009,205000
4960,5,7,1654,7,2009,137000
8854,6,6,952,4,2009,121000
6000,4,6,1324,6,2009,128000
6000,6,9,1176,4,2009,134900
6000,5,8,1348,5,2009,117000
6000,6,6,1412,6,2009,132500
6000,5,5,1142,6,2009,93000
6000,6,7,904,4,2009,119000
6911,5,5,1301,5,2009,100000
6120,5,6,1539,5,2009,141500
6120,4,7,1573,6,2009,133000
6120,2,3,800,4,2009,60000
6120,5,7,875,5,2009,105000
6120,5,6,995,5,2009,115000
6120,5,6,1582,6,2009,150000
8635,5,5,1072,5,2009,126500
11888,6,6,2134,10,2009,214500
11414,7,8,2019,8,2009,167500
8094,6,6,1768,8,2009,155000
2500,7,8,1826,7,2009,155000
9928,7,8,1944,8,2009,179900
5520,6,6,2229,8,2009,104000
3000,5,1,2128,11,2009,62500
6876,6,5,1930,8,2009,149000
6240,4,5,1208,5,2009,103000
5775,6,7,1427,7,2009,123000
5852,7,5,1864,9,2009,97500
5160,6,6,1666,4,2009,135000
5160,4,6,892,5,2009,70000
10320,6,7,1403,7,2009,116000
4280,4,9,704,4,2009,88750
10800,5,5,1200,5,2009,179000
10800,5,5,1200,5,2009,179000
10547,5,5,1152,6,2009,159900
10020,1,1,904,4,2009,61000
6629,6,6,1369,6,2009,103600
9780,5,3,1112,6,2009,63000
12886,5,6,1464,6,2009,175000
8816,5,6,1121,5,2009,139000
11184,6,5,1683,7,2009,172500
11625,5,6,1052,6,2009,113500
7800,5,7,899,5,2009,130000
8014,6,5,1034,5,2009,149900
7252,5,5,858,5,2009,134900
8740,5,6,860,4,2009,137000
11616,5,5,1092,6,2009,139000
15400,5,5,1774,8,2009,165000
